City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Krasnyy Kommunar,RU,2020-11-07 14:16:59,51.96,55.37,39.2,100,90,4.47
211,Silver City,US,2020-11-07 14:16:59,32.77,-108.28,48.2,49,40,4.7
212,Zyryanka,RU,2020-11-07 14:16:59,65.75,150.85,-5.93,91,100,9.42
213,Buala,SB,2020-11-07 14:16:59,-8.14,159.59,79.92,77,45,1.68
214,Tete,MZ,2020-11-07 14:16:59,-16.16,33.59,111.0,11,20,13.87
215,Tomatlan,MX,2020-11-07 14:16:59,19.93,-105.25,71.89,82,45,2.93
216,Hasaki,JP,2020-11-07 14:16:59,35.73,140.83,66.2,100,75,3.36
217,Ancud,CL,2020-11-07 14:16:59,-41.87,-73.82,54.0,66,0,13.87
218,Levelland,US,2020-11-07 14:16:59,33.59,-102.38,54.0,87,20,11.41
219,Rafaela,AR,2020-11-07 14:17:00,-31.25,-61.49,82.0,36,5,5.01
220,Salta,AR,2020-11-07 14:17:00,-24.79,-65.41,80.6,24,0,13.87
221,Baiyin,CN,2020-11-07 14:17:00,36.56,104.21,46.0,53,0,4.47
222,Tezu,IN,2020-11-07 14:17:00,27.92,96.17,68.88,47,0,4.25
223,Muyezerskiy,RU,2020-11-07 14:17:00,63.93,31.65,46.56,76,100,17.43
224,Broken Hill,AU,2020-11-07 14:17:00,-31.95,141.43,62.6,39,0,9.17
225,Talcahuano,CL,2020-11-07 14:17:00,-36.72,-73.12,59.0,67,0,8.05
226,Koslan,RU,2020-11-07 14:17:00,63.46,48.9,34.38,94,100,8.9
227,Hami,CN,2020-11-07 14:17:01,42.8,93.45,38.52,66,63,1.88
228,Bougouni,ML,2020-11-07 14:17:01,11.42,-7.48,98.76,15,0,8.61
229,Dudinka,RU,2020-11-07 14:17:01,69.41,86.18,14.0,78,75,15.66
230,Makarov,RU,2020-11-07 14:12:08,48.63,142.8,34.56,87,97,9.33
231,Havre-Saint-Pierre,CA,2020-11-07 14:17:01,50.23,-63.6,33.8,64,1,12.75
232,Lebu,CL,2020-11-07 14:17:01,-37.62,-73.65,56.28,61,0,21.21
233,Adrar,MR,2020-11-07 14:17:01,20.5,-10.07,94.55,15,100,4.43
234,Fasa,IR,2020-11-07 14:17:01,28.94,53.65,73.4,16,0,4.7
235,Byron Bay,AU,2020-11-07 14:15:43,-28.65,153.62,64.4,82,75,17.22
236,Santarem,BR,2020-11-07 14:17:02,-2.44,-54.71,78.8,88,75,12.75
237,Tarata,BO,2020-11-07 14:17:02,-17.62,-66.02,73.4,35,20,3.36
238,Altay,CN,2020-11-07 14:17:02,47.87,88.12,35.28,76,35,3.02
239,Igarka,RU,2020-11-07 14:17:02,67.47,86.58,11.35,95,100,17.4
240,Te Anau,NZ,2020-11-07 14:17:02,-45.42,167.72,38.34,89,100,4.94
241,Nuuk,GL,2020-11-07 14:13:13,64.18,-51.72,23.0,67,20,6.93
242,Sawakin,SD,2020-11-07 14:17:02,19.11,37.33,84.88,64,21,9.44
243,Clyde River,CA,2020-11-07 14:17:03,70.47,-68.59,-0.4,77,1,18.34
244,Fairbanks,US,2020-11-07 14:17:03,64.84,-147.72,33.8,74,90,3.36
245,Cooma,AU,2020-11-07 14:16:19,-36.23,149.13,41.0,93,90,4.7
246,Saint-Philippe,RE,2020-11-07 14:17:03,-21.36,55.77,78.8,61,90,4.7
247,Rockhampton,AU,2020-11-07 14:17:03,-23.38,150.5,75.2,64,40,8.05
248,Tucuma,BR,2020-11-07 14:17:03,-0.18,-50.05,87.13,62,85,9.8
249,Lompoc,US,2020-11-07 14:17:04,34.64,-120.46,51.8,81,75,16.11
250,Praia,CV,2020-11-07 14:17:04,14.92,-23.51,86.0,62,75,14.99
251,Cayenne,GF,2020-11-07 14:17:04,4.93,-52.33,87.8,62,20,9.17
252,Yuncheng,CN,2020-11-07 14:17:04,35.02,110.99,53.64,38,0,0.92
253,Nemuro,JP,2020-11-07 14:17:04,43.32,145.57,53.28,81,20,6.11
254,Piacenza,IT,2020-11-07 14:17:04,45.05,9.7,59.0,100,0,4.7
255,Dehloran,IR,2020-11-07 14:17:05,32.69,47.27,77.38,35,100,7.63
256,Provideniya,RU,2020-11-07 14:17:05,64.38,-173.3,32.07,91,89,20.78
257,Rehoboth,NA,2020-11-07 14:17:05,-23.32,17.08,95.74,9,0,18.79
258,Chiredzi,ZW,2020-11-07 14:17:05,-21.05,31.67,104.09,17,0,7.74
259,Bethel,US,2020-11-07 14:17:05,41.37,-73.41,57.99,100,1,2.98
260,Kovrov,RU,2020-11-07 14:17:05,56.36,41.32,39.83,78,2,9.73
261,Collie,AU,2020-11-07 14:17:05,-33.37,116.15,60.01,76,0,1.99
262,Lorengau,PG,2020-11-07 14:17:05,-2.02,147.27,81.7,78,14,10.36
263,Saint-Joseph,RE,2020-11-07 14:17:06,-21.37,55.62,78.8,61,90,4.7
264,Chegdomyn,RU,2020-11-07 14:17:06,51.12,133.02,19.58,91,100,0.94
265,Sao Filipe,CV,2020-11-07 14:17:06,14.9,-24.5,80.04,76,100,7.14
266,Leh,IN,2020-11-07 14:17:06,34.17,77.58,31.93,62,0,4.27
267,Athabasca,CA,2020-11-07 14:15:06,54.72,-113.29,24.8,100,100,4.7
268,Sal Rei,CV,2020-11-07 14:17:06,16.18,-22.92,84.2,66,75,14.99
269,Khargapur,IN,2020-11-07 14:17:06,24.82,79.14,71.08,24,0,1.72
270,Krasnoselkup,RU,2020-11-07 14:17:06,65.7,82.47,31.26,99,100,11.23
271,Roros,NO,2020-11-07 14:17:07,62.57,11.38,44.6,87,93,6.93
272,Caravelas,BR,2020-11-07 14:17:07,-17.71,-39.25,83.91,63,12,5.61
273,Egvekinot,RU,2020-11-07 14:17:07,66.32,-179.17,22.51,99,100,1.79
274,Chunskiy,RU,2020-11-07 14:17:07,56.08,99.63,33.13,96,100,5.99
275,Teahupoo,PF,2020-11-07 14:17:07,-17.83,-149.27,75.2,78,40,2.24
276,Ilulissat,GL,2020-11-07 14:17:07,69.22,-51.1,14.0,51,75,1.12
277,Kahului,US,2020-11-07 14:17:07,20.89,-156.47,77.0,83,90,5.82
278,Martapura,ID,2020-11-07 14:17:08,-3.42,114.85,76.19,93,87,2.51
279,Salalah,OM,2020-11-07 14:17:08,17.02,54.09,82.4,54,0,8.05
280,Saint-Ambroise,CA,2020-11-07 14:17:08,48.55,-71.33,43.0,77,82,10.29
281,Guangyuan,CN,2020-11-07 14:17:08,32.44,105.82,60.01,87,0,1.32
282,Berlevag,NO,2020-11-07 14:17:08,70.86,29.09,40.19,71,98,24.52
283,Anloga,GH,2020-11-07 14:17:08,5.79,0.9,89.6,66,40,10.29
284,Pauini,BR,2020-11-07 14:17:08,-7.71,-66.98,93.58,45,59,2.71
285,Melo,UY,2020-11-07 14:17:08,-32.37,-54.18,71.22,72,74,12.39
286,Hammerfest,NO,2020-11-07 14:17:09,70.66,23.68,33.8,100,90,20.8
287,Minot,US,2020-11-07 14:17:09,48.23,-101.3,24.8,85,90,4.7
288,Maragogi,BR,2020-11-07 14:17:09,-9.01,-35.22,82.98,73,62,14.97
289,Guerrero Negro,MX,2020-11-07 14:17:09,27.98,-114.06,66.34,78,94,15.7
290,Miranda De Ebro,ES,2020-11-07 14:14:18,42.69,-2.95,60.01,77,75,14.99
291,Hambantota,LK,2020-11-07 14:17:09,6.12,81.12,78.8,100,20,2.24
292,High Rock,BS,2020-11-07 14:17:09,26.62,-78.28,77.0,88,90,12.75
293,Aleksandrovsk-Sakhalinskiy,RU,2020-11-07 14:17:09,50.9,142.16,26.64,82,3,4.83
294,Nauta,PE,2020-11-07 14:17:09,-4.51,-73.58,83.8,69,98,1.61
295,Ponta Delgada,PT,2020-11-07 14:17:10,37.73,-25.67,62.6,72,20,17.22
296,High Level,CA,2020-11-07 14:17:10,58.52,-117.14,-2.2,84,90,2.04
297,Vanino,RU,2020-11-07 14:17:10,49.09,140.25,29.03,98,100,4.5
298,Kuala Terengganu,MY,2020-11-07 14:17:10,5.33,103.14,80.6,94,40,2.24
299,Novomikhaylovskiy,RU,2020-11-07 14:17:10,44.26,38.86,53.29,60,83,5.95
300,Xuddur,SO,2020-11-07 14:17:10,4.12,43.89,83.26,57,32,5.95
301,Havoysund,NO,2020-11-07 14:17:10,71.0,24.66,33.8,100,90,20.8
302,Pryazha,RU,2020-11-07 14:17:11,61.69,33.62,46.4,81,40,15.66
303,Bubaque,GW,2020-11-07 14:17:11,11.28,-15.83,86.47,66,0,4.5
304,Penzance,GB,2020-11-07 14:17:11,50.12,-5.54,57.2,93,75,21.92
305,Tinskoy,RU,2020-11-07 14:17:11,56.15,96.92,37.26,91,100,11.14
