City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Arraial Do Cabo,BR,-22.97,-42.03,77.0,83,75,12.75,broken clouds
163,Haileybury,CA,47.45,-79.64,60.8,63,1,13.87,clear sky
164,Ternate,ID,0.8,127.4,80.31,76,87,6.8,overcast clouds
165,Sao Lourenco Do Sul,BR,-31.37,-51.98,77.0,65,40,14.99,scattered clouds
166,Shakawe,BW,-18.37,21.85,78.76,50,77,12.46,broken clouds
167,Suntar,RU,62.14,117.63,-2.16,90,11,4.83,few clouds
168,Ayan,RU,56.45,138.17,6.55,87,70,18.43,broken clouds
169,Camalu,MX,30.85,-116.07,57.0,56,79,4.0,broken clouds
170,Ribeira Grande,PT,38.52,-28.7,62.6,48,75,8.05,broken clouds
171,Pierre,US,44.37,-100.35,66.2,52,40,26.4,scattered clouds
172,Airai,TL,-8.93,125.41,61.07,85,94,2.08,overcast clouds
173,Richards Bay,ZA,-28.78,32.04,75.69,88,20,10.78,few clouds
174,Muros,ES,42.78,-9.06,57.99,87,75,13.87,broken clouds
175,Clyde River,CA,70.47,-68.59,-0.4,70,20,19.46,few clouds
176,Labuhan,ID,-6.88,112.21,79.99,77,100,6.4,overcast clouds
177,Salinopolis,BR,-0.61,-47.36,85.44,65,62,17.65,broken clouds
178,Staines,GB,51.43,-0.51,57.0,93,90,1.12,overcast clouds
179,Komsomolskiy,UZ,40.43,71.72,53.6,37,90,2.24,mist
180,Alto Araguaia,BR,-17.31,-53.22,92.21,35,25,9.35,scattered clouds
181,Constitucion,CL,-35.33,-72.42,65.14,51,29,10.29,scattered clouds
182,Luanda,AO,-8.84,13.23,78.8,83,20,10.29,few clouds
183,Namibe,AO,-15.2,12.15,70.48,71,34,7.07,scattered clouds
184,Thinadhoo,MV,0.53,72.93,84.54,75,38,12.37,scattered clouds
185,Carbondale,US,37.73,-89.22,77.0,57,20,16.11,few clouds
186,Kaitangata,NZ,-46.28,169.85,48.0,84,28,1.99,scattered clouds
187,Peniche,PT,39.36,-9.38,63.0,86,3,7.0,clear sky
188,Pingliang,CN,35.54,106.69,45.5,73,93,5.14,overcast clouds
189,Nedjo,ET,9.5,35.5,58.1,91,61,2.37,broken clouds
190,Russell,US,32.35,-85.2,71.6,78,90,5.82,overcast clouds
191,Quelimane,MZ,-17.88,36.89,80.6,83,0,17.22,clear sky
192,Nizhniy Kuranakh,RU,58.84,125.49,-2.15,90,99,3.24,overcast clouds
193,Dunedin,NZ,-45.87,170.5,50.0,77,30,6.49,scattered clouds
194,Sisimiut,GL,66.94,-53.67,10.62,85,0,12.19,clear sky
195,Dingle,PH,11.0,122.67,74.8,88,84,2.48,broken clouds
196,Monte Carmelo,BR,-18.72,-47.5,89.65,35,6,6.06,clear sky
197,Abastumani,GE,41.71,42.85,50.0,93,0,9.17,clear sky
198,Tombouctou,ML,20.0,-3.0,87.01,13,20,5.26,few clouds
199,Batticaloa,LK,7.71,81.69,82.06,79,73,14.92,heavy intensity rain
200,Havelock,US,34.88,-76.9,80.01,69,40,11.41,scattered clouds
201,Altamira,BR,-3.2,-52.21,91.4,59,75,5.82,broken clouds
202,Bonavista,CA,48.65,-53.11,37.4,51,98,8.05,overcast clouds
203,Mayo,US,38.89,-76.51,75.99,72,1,3.36,clear sky
204,Khandbari,NP,27.37,87.2,60.55,49,0,3.11,clear sky
205,Itarema,BR,-2.92,-39.92,86.88,59,4,20.76,clear sky
206,Mitu,CO,1.2,-70.17,91.87,51,86,1.21,light rain
207,Nueva Guinea,NI,11.69,-84.46,83.07,76,23,14.36,few clouds
208,Nacozari,MX,25.34,-108.26,86.0,63,30,11.99,scattered clouds
209,Ostrovnoy,RU,68.05,39.51,37.67,80,80,13.98,light rain
210,Pechenga,RU,69.53,31.17,32.0,93,0,29.97,clear sky
211,Rocha,UY,-34.48,-54.33,70.88,58,9,12.44,clear sky
212,La Ciotat,FR,43.17,5.6,62.01,89,4,12.48,clear sky
213,Salalah,OM,17.02,54.09,80.6,83,40,2.24,scattered clouds
214,Ararangua,BR,-28.93,-49.49,75.06,67,32,10.16,scattered clouds
215,Toamasina,MG,-18.17,49.38,78.8,94,75,5.82,shower rain
216,Nara,JP,34.69,135.8,57.0,64,27,6.87,scattered clouds
217,Kashi,CN,39.45,75.98,44.6,30,20,8.95,few clouds
218,Loreto,MX,22.27,-101.97,72.03,26,44,8.88,scattered clouds
219,Balabac,PH,7.99,117.06,80.01,79,16,4.38,few clouds
220,Sao Filipe,CV,14.9,-24.5,81.1,70,88,10.2,overcast clouds
221,Katsuura,JP,35.13,140.3,59.0,47,75,27.51,broken clouds
222,Port-Gentil,GA,-0.72,8.78,78.8,88,75,9.17,broken clouds
223,Gavrilovka Vtoraya,RU,52.88,42.77,47.37,89,100,17.36,light rain
224,Port Elizabeth,ZA,-33.92,25.57,60.01,89,18,8.01,light rain
225,Lebu,CL,-37.62,-73.65,57.63,67,3,17.38,clear sky
226,Edwardsville,US,38.81,-89.95,72.0,80,58,1.99,broken clouds
227,Srednekolymsk,RU,67.45,153.68,-4.83,92,93,5.75,overcast clouds
228,Talaya,RU,61.38,152.75,-6.03,89,98,3.53,overcast clouds
229,Fasa,IR,28.94,53.65,60.8,48,0,1.14,clear sky
230,Waipawa,NZ,-41.41,175.52,51.8,62,98,28.86,overcast clouds
231,Kupang,ID,-10.17,123.58,80.73,80,90,7.52,light rain
232,San Rafael,AR,-34.62,-68.33,90.28,20,3,17.98,clear sky
233,Rio Gallegos,AR,-51.62,-69.22,68.0,37,75,16.11,broken clouds
234,Nyakahanga,TZ,-1.6,31.14,63.32,87,40,2.95,scattered clouds
235,Gat,IL,31.61,34.76,71.01,100,47,1.01,scattered clouds
236,Husavik,IS,66.04,-17.34,30.2,86,0,3.36,clear sky
237,Yagodnoye,RU,62.55,149.67,-2.42,89,100,2.93,overcast clouds
238,Tuatapere,NZ,-46.13,167.68,48.99,92,95,3.02,overcast clouds
239,Hamilton,US,39.18,-84.53,77.0,43,1,3.36,clear sky
240,Ladario,BR,-19.0,-57.6,104.0,31,20,10.29,few clouds
241,Inuvik,CA,68.35,-133.72,21.2,85,86,4.7,overcast clouds
242,Buin,CL,-33.73,-70.75,84.0,32,0,6.93,clear sky
243,Sola,VU,-13.88,167.55,81.27,80,16,13.4,few clouds
244,Hokitika,NZ,-42.72,170.97,43.63,74,21,6.55,few clouds
245,Linhares,BR,-19.39,-40.07,83.28,72,44,9.24,light rain
246,La Ronge,CA,55.1,-105.28,14.0,85,100,11.41,overcast clouds
247,Severo-Kurilsk,RU,50.68,156.12,34.54,84,90,4.07,overcast clouds
248,Yasnyy,RU,51.03,59.87,34.47,87,95,25.17,overcast clouds
249,Vitim,RU,59.45,112.56,13.62,95,98,3.29,light snow
250,Manggar,ID,-2.88,108.27,79.03,81,100,1.45,overcast clouds
251,Acarau,BR,-2.89,-40.12,87.96,56,7,22.15,clear sky
252,Charters Towers,AU,-20.1,146.27,69.91,73,93,17.54,moderate rain
253,Cherlak,RU,54.16,74.81,38.97,75,82,20.2,broken clouds
254,Akdepe,TM,42.06,59.38,44.6,80,0,6.93,clear sky
255,Argayash,RU,55.49,60.88,37.4,59,40,26.84,scattered clouds
256,Lasa,IT,46.62,10.7,46.0,65,5,1.01,clear sky
257,Bowen,AU,-20.02,148.23,73.4,69,40,9.17,scattered clouds
258,Xingcheng,CN,40.62,120.72,37.0,59,0,4.38,clear sky
259,Rorvik,NO,64.86,11.24,42.8,87,75,11.41,shower rain
260,Chapais,CA,49.78,-74.85,35.6,93,90,5.82,overcast clouds
261,Zhigansk,RU,66.77,123.37,-16.35,89,13,3.22,few clouds
262,Tautira,PF,-17.73,-149.15,82.4,69,75,4.7,broken clouds
263,Ouadda,CF,8.08,22.4,73.71,54,80,2.08,broken clouds
264,Kavaratti,IN,10.57,72.64,83.59,75,0,5.55,clear sky
265,Shingu,JP,33.73,135.98,50.79,76,0,5.66,clear sky
266,Kirkwall,GB,58.98,-2.96,50.0,93,100,14.99,moderate rain
267,Bensonville,LR,6.45,-10.61,86.0,74,40,9.17,scattered clouds
268,Quilmana,PE,-12.95,-76.38,72.43,54,84,10.2,broken clouds
269,Castro,BR,-24.79,-50.01,85.21,30,8,4.83,clear sky
270,Narsaq,GL,60.92,-46.05,33.8,80,90,4.7,light rain and snow
271,Vanavara,RU,60.34,102.28,30.6,98,99,7.05,overcast clouds
272,Saldanha,ZA,-33.01,17.94,60.8,72,19,8.05,few clouds
273,Beaverlodge,CA,55.22,-119.44,14.0,85,20,2.24,few clouds
274,Bethel,US,41.37,-73.41,73.99,37,1,3.36,clear sky
275,Mul,IN,20.07,79.67,62.58,53,0,4.29,clear sky
276,Nome,US,64.5,-165.41,26.6,79,1,7.36,clear sky
277,Muroto,JP,33.28,134.15,60.39,59,0,13.27,clear sky
278,Nemuro,JP,43.32,145.57,41.9,86,86,16.15,light rain
279,Hami,CN,42.8,93.45,37.47,64,0,3.98,clear sky
280,Komsomolets,KZ,53.75,62.07,36.12,80,63,24.07,broken clouds
281,College,US,64.86,-147.8,32.0,94,90,8.05,overcast clouds
282,Half Moon Bay,US,37.46,-122.43,55.99,62,1,27.51,haze
283,Cochabamba,BO,-17.39,-66.16,80.6,25,20,9.17,few clouds
284,Landsberg,PL,52.74,15.23,45.0,84,0,3.0,clear sky
285,Atambua,ID,-9.11,124.89,74.95,78,100,3.33,overcast clouds
286,Keflavik,IS,64.0,-22.56,39.2,93,75,19.46,broken clouds
287,Mikhaylovka,RU,50.06,43.24,46.0,88,95,5.99,overcast clouds
288,Karratha,AU,-20.74,116.85,70.07,77,0,15.14,light rain
289,Honiara,SB,-9.43,159.95,73.4,100,20,3.36,few clouds
290,Belle Glade,US,26.68,-80.67,75.0,96,100,1.01,moderate rain
291,Oksfjord,NO,70.24,22.35,33.8,80,75,16.11,light rain
292,Brighton,GB,50.83,-0.14,57.2,100,75,4.7,light intensity drizzle
293,Cam Ranh,VN,11.92,109.16,82.4,69,40,19.46,scattered clouds
294,Zhicheng,CN,30.3,111.5,55.0,61,0,3.22,light rain
295,Zhangye,CN,38.93,100.45,43.5,44,0,7.27,clear sky
296,Mabaruma,GY,8.2,-59.78,79.63,89,99,3.53,light rain
297,Omboue,GA,-1.57,9.26,75.83,91,100,6.53,light rain
298,Bandarbeyla,SO,9.49,50.81,77.81,82,12,14.16,few clouds
299,Cabo San Lucas,MX,22.89,-109.91,84.99,65,5,11.41,clear sky
300,Malambo,CO,10.86,-74.77,89.6,62,40,3.36,scattered clouds
301,Kuopio,FI,62.89,27.68,33.8,86,0,10.29,clear sky
302,Pacific Grove,US,36.62,-121.92,55.99,50,75,24.16,broken clouds
303,Chuy,UY,-33.7,-53.46,69.19,62,18,12.06,few clouds
304,East London,ZA,-33.02,27.91,69.8,73,40,6.93,scattered clouds
305,Pontes E Lacerda,BR,-15.23,-59.34,95.16,33,64,4.0,moderate rain
306,Ancud,CL,-41.87,-73.82,70.0,52,0,12.75,clear sky
307,Kyshtovka,RU,56.55,76.63,37.71,83,98,20.67,overcast clouds
308,Benjamin Constant,BR,-4.38,-70.03,82.4,78,75,3.36,broken clouds
309,Manaure,CO,11.78,-72.44,83.61,72,17,10.36,few clouds
310,Ingham,US,42.6,-84.38,73.99,43,75,4.7,broken clouds
311,Buala,SB,-8.14,159.59,81.34,76,77,5.64,broken clouds
312,San Carlos De Bariloche,AR,-41.15,-71.31,71.6,35,40,3.36,scattered clouds
313,Olafsvik,IS,64.89,-23.71,42.48,78,69,20.54,broken clouds
314,Trelew,AR,-43.25,-65.31,86.92,14,94,11.39,overcast clouds
315,Atbasar,KZ,51.8,68.33,36.63,80,95,19.37,overcast clouds
316,Sopot,PL,54.44,18.56,48.0,87,90,3.36,overcast clouds
317,Tasiilaq,GL,65.61,-37.64,30.2,100,100,41.38,heavy snow
318,Meulaboh,ID,4.14,96.13,76.55,87,100,3.36,overcast clouds
319,Santa Helena De Goias,BR,-17.81,-50.6,94.35,30,22,5.64,few clouds
320,Morant Bay,JM,17.88,-76.41,78.01,100,90,11.41,shower rain
321,Arlit,NE,18.74,7.39,79.14,22,0,19.51,clear sky
322,Port-Cartier,CA,50.03,-66.87,32.0,68,97,4.7,overcast clouds
323,Malmesbury,ZA,-33.46,18.73,60.01,67,75,11.41,broken clouds
324,Kloulklubed,PW,7.04,134.26,80.6,78,90,12.75,overcast clouds
325,Buzmeyin,TM,38.05,58.21,51.8,87,90,2.24,overcast clouds
326,Inhambane,MZ,-23.86,35.38,78.8,94,75,18.34,broken clouds
327,Cockburn Town,TC,21.46,-71.14,82.4,78,75,13.87,broken clouds
328,Daru,PG,-9.08,143.21,80.65,85,72,13.98,light rain
329,Pangkalanbuun,ID,-2.68,111.62,74.25,96,77,1.5,light rain
330,Usinsk,RU,65.99,57.53,27.46,98,96,10.22,light snow
331,Cape Canaveral,US,28.41,-80.6,79.0,74,1,19.46,clear sky
332,Beringovskiy,RU,63.05,179.32,19.78,92,11,11.52,few clouds
333,High Level,CA,58.52,-117.14,6.8,100,5,2.24,smoke
334,Chelbasskaya,RU,45.98,39.37,47.89,78,0,5.79,clear sky
335,Hasaki,JP,35.73,140.83,55.4,76,40,11.41,scattered clouds
336,Samarai,PG,-10.62,150.67,80.04,84,63,16.67,moderate rain
337,Wewak,PG,-3.55,143.63,78.44,77,100,1.03,overcast clouds
338,Dalvik,IS,65.97,-18.53,30.2,86,0,3.36,clear sky
339,Khuzdar,PK,27.74,66.64,58.62,33,0,1.52,clear sky
340,Henties Bay,NA,-22.12,14.28,61.0,87,10,13.18,clear sky
341,Bubaque,GW,11.28,-15.83,85.12,73,40,12.39,scattered clouds
342,Ambilobe,MG,-13.2,49.05,78.37,71,97,11.39,overcast clouds
343,Chimbote,PE,-9.09,-78.58,68.04,68,19,14.03,few clouds
344,Lata,PT,40.16,-8.33,63.0,85,56,3.8,broken clouds
345,Grindavik,IS,63.84,-22.43,39.2,93,75,19.46,broken clouds
346,Pontalina,BR,-17.52,-49.45,91.72,34,100,8.59,light rain
347,Sao Joao Da Barra,BR,-21.64,-41.05,86.0,66,40,11.41,scattered clouds
348,Warri,NG,5.52,5.75,78.4,87,95,5.03,light rain
349,Finschhafen,PG,-6.6,147.87,80.01,75,99,5.48,overcast clouds
350,Udgir,IN,18.38,77.12,61.63,60,0,5.06,clear sky
351,Kaeo,NZ,-35.1,173.78,51.01,94,24,8.55,few clouds
352,Awbari,LY,26.59,12.78,62.35,41,0,6.26,clear sky
353,Deogarh,IN,21.53,84.73,64.04,59,0,3.2,clear sky
354,Bhanpuri,IN,21.1,80.92,63.61,44,0,2.93,light rain
